model,features,size,k,test_mape
LR,Small,20,1,3.8838275574249557
GBM,Small,20,1,2.813025586304101
DT,Small,20,1,4.285301252148775
LR,Large,20,1,3.1498143022175453
GBM,Large,20,1,1.628733185355755
DT,Large,20,1,2.337257947843976
LR,Small,20,2,3.7783613284851163
GBM,Small,20,2,2.7531065828047443
DT,Small,20,2,4.265887136872732
LR,Large,20,2,3.1448465312310994
GBM,Large,20,2,1.6277259643570514
DT,Large,20,2,2.326490382748491
LR,Small,20,5,3.6013710541996447
GBM,Small,20,5,2.7308311078960235
DT,Small,20,5,4.237549740341989
LR,Large,20,5,3.0814143732966777
GBM,Large,20,5,1.6288401180120933
DT,Large,20,5,2.3214620212258588
LR,Small,20,10,3.462841772512971
GBM,Small,20,10,2.7205564044719575
DT,Small,20,10,4.293782632126759
LR,Large,20,10,2.9820653397071717
GBM,Large,20,10,1.626311023001429
DT,Large,20,10,2.324350791783748
LR,Small,50,1,3.8343787770559863
GBM,Small,50,1,3.052125735878616
DT,Small,50,1,4.856070723217506
LR,Large,50,1,3.204165099538188
GBM,Large,50,1,1.3849141695560059
DT,Large,50,1,1.9673390155526513
LR,Small,50,2,3.6457491740067836
GBM,Small,50,2,3.0779359131016775
DT,Small,50,2,4.679229715104212
LR,Large,50,2,3.178457251062402
GBM,Large,50,2,1.3804515448585724
DT,Large,50,2,1.9510329635580297
LR,Small,50,5,3.4397037591104866
GBM,Small,50,5,3.048987760575075
DT,Small,50,5,4.5545957959339765
LR,Large,50,5,3.0976068942906188
GBM,Large,50,5,1.3819168765349519
DT,Large,50,5,1.9596161637854794
LR,Small,50,10,3.36856027838624
GBM,Small,50,10,3.016433865128686
DT,Small,50,10,4.656382893002421
LR,Large,50,10,3.0567500481561147
GBM,Large,50,10,1.3840883793293612
DT,Large,50,10,1.9719735625541857
LR,Small,100,1,3.4467819938724524
GBM,Small,100,1,3.157740979738792
DT,Small,100,1,5.355722327209496
LR,Large,100,1,2.7513905391803424
GBM,Large,100,1,1.045924048344082
DT,Large,100,1,1.5260617453228273
LR,Small,100,2,3.206021166874883
GBM,Small,100,2,3.079160720670528
DT,Small,100,2,4.926846531362533
LR,Large,100,2,2.7259079665347095
GBM,Large,100,2,1.0457228475118545
DT,Large,100,2,1.5104459379058306
LR,Small,100,5,3.022495416759576
GBM,Small,100,5,3.1748359320702275
DT,Small,100,5,4.613619666374209
LR,Large,100,5,2.628071729850879
GBM,Large,100,5,1.0451565482658096
DT,Large,100,5,1.5180700063516799
LR,Small,100,10,2.8941265824378513
GBM,Small,100,10,3.2505201567091975
DT,Small,100,10,4.601902395258004
LR,Large,100,10,2.5735516447079836
GBM,Large,100,10,1.0441605483374532
DT,Large,100,10,1.5076996672816902
